1,0,0+1i,0+1i,0+1i,0+1i,1
3,5,1+1i,1+2i,1+2i,1+1i,2
9,16,0+3i,1+4i,1+4i,0+3i,3
30,58,4+4i,4+7i,4+7i,4+4i,4
104,202,0+11i,4+15i,4+15i,0+11i,5
376,736,15+15i,15+26i,15+26i,15+15i,6
